transplant_id,instrument_name,origin_country,origin_legal_family,introduction_date,modification_date,success_level,adaptation_required,local_resistance_level,institutional_sponsor,market_reception,survival_years,mutations_count,export_potential,comparative_notes
TR015,Peer-to-Peer Lending,Anglo-American,Common Law,2017-04-01,2019-12-30,Partial,Significant,High,BCRA-Fintechs,Mixed,7,3,Low,"Regulatory resistance, banking lobby opposition, limited scope"
TR016,Robo-Advisors,United States,Common Law,2019-06-15,2021-03-20,High,Low,Low,CNV-Fintech,Positive,5,1,Medium,"Technology-driven easy adoption, generational change facilitator"
TR017,Regulatory Sandbox,United Kingdom,Common Law,2018-05-15,2019-08-30,High,Moderate,Low,BCRA-CNV,Positive,6,1,High,"Successful fintech policy tool, copied by regional regulators"
TR018,Open Banking,Europe,Civil Law,2020-01-15,2022-06-30,Developing,Significant,High,BCRA-Banks,Negative,4,2,Low,"Strong banking resistance, slow implementation, consumer protection concerns"
TR019,Central Bank Digital Currency,China-Sweden,Mixed,2021-07-01,2023-12-15,Developing,Moderate,Medium,BCRA-Government,Mixed,3,1,Medium,"Pilot phase, political resistance, dollarization concerns"
TR020,Stablecoins Regulation,United States,Common Law,2022-01-15,2023-08-30,Developing,Significant,High,BCRA-CNV,Negative,2,2,Low,"Restrictive approach, capital controls compatibility issues"
TR021,ESG Reporting,Europe,Civil Law,2020-06-15,2021-11-30,High,Low,Low,CNV-International,Positive,4,1,Medium,"International pressure successful, corporate governance enhancement"
TR022,Whistleblower Protection,United States,Common Law,2016-09-01,2018-04-15,Partial,Moderate,Medium,Anti-Corruption Office,Mixed,8,2,Low,"Cultural resistance, weak enforcement, limited effectiveness"
TR023,Leniency Programs,United States,Common Law,2018-10-01,2020-02-15,Partial,Moderate,High,Competition Authority,Mixed,6,1,Low,"Antitrust enforcement enhancement, business community resistance"
TR024,Compliance Officer,United States,Common Law,2017-08-15,2019-01-30,High,Low,Medium,CNV-UIF,Positive,7,1,Medium,"AML/CFT international pressure, successful professional development"
TR025,Data Protection (GDPR-style),Europe,Civil Law,2018-05-25,2020-10-15,High,Moderate,Medium,Congress-Privacy,Positive,6,2,Medium,"Personal Data Protection Law, European model adaptation successful"
TR026,Beneficial Ownership,FATF International,Mixed,2019-03-15,2021-07-30,High,Moderate,High,UIF-AFIP,Mixed,5,2,Medium,"AML compliance, corporate transparency, business resistance overcome"
TR027,Cryptocurrency Exchanges,Japan-Malta,Mixed,2021-05-01,2022-12-15,Developing,Significant,Very High,CNV-BCRA,Negative,3,3,None,"Restrictive regulation, capital controls priority over innovation"
TR028,Digital Identity,Estonia,Civil Law,2020-03-15,2022-09-30,Developing,Significant,Medium,RENAPER-Government,Mixed,4,2,Medium,"COVID acceleration, bureaucracy digitization, privacy concerns"
TR029,Smart Contracts Legal Framework,Switzerland,Civil Law,2021-09-01,Never,Failed,Significant,Very High,Academic-Blockchain,Negative,0,0,None,"Legal system not ready, judicial resistance, technology skepticism"
TR030,Carbon Credits Trading,Europe,Civil Law,2016-11-01,2018-06-15,Partial,Moderate,Medium,Environment Ministry,Mixed,8,1,Low,"Environmental policy tool, limited market development, compliance focus"
