case_id,nombre_caso,area_derecho,fecha_inicio,fecha_fin,tipo_seleccion,velocidad_cambio_dias,origen,exito,presion_ambiental,actores_principales,resistencias_documentadas,supervivencia_anos,mutaciones_identificadas,difusion_otras_jurisdicciones,normativa_primaria,fallos_relevantes,bibliografia_academica,notas
LEA001,Leasing Financiero,Derecho Financiero,2000-06-08,2024-12-31,Mixta,8956,Transplante,Exitoso,Modernizacion Financiera,CNV-Bancos-AFIP,Resistencia fiscal inicial,24,2,"Mexico, Brasil","Ley 25.248",No fallos relevantes,Molina Quiros (2002),Adaptacion exitosa common law
TRU001,Trust Fracaso,Derecho Civil,1998-01-01,2004-12-31,Artificial,2556,Transplante,Fracaso,Modernizacion Codigo,Juristas academicos,Sistema registral argentino,6,0,Ninguna,Proyectos no aprobados,No aplicable,Kiper (2007),Incompatibilidad sistema registral
SEC001,Securitizacion ON,Derecho Bursatil,2001-06-28,2024-12-31,Mixta,8556,Hibrido,Exitoso,Crisis y financiamiento,CNV-Empresas grandes,Bancos tradicionales,23,4,"Chile, Mexico","Ley 23.576 mod.",CNV Resol. 368/01,Zunino (2004),Evolucion hacia tokenizacion
CLA001,Acciones Colectivas,Derecho Procesal,2009-03-25,2024-12-31,Acumulativa,5750,Hibrido,Parcial,Derechos Consumidor,Halabi-CSJN-Defensor Pueblo,Empresas demandadas,15,3,"Colombia, Brasil",Art. 43 CN y ley 24.240,CSJN Halabi,Verbic (2016),Resistencia empresaria fuerte
COR001,Corralito Depositos,Derecho Bancario,2001-12-01,2002-11-25,Artificial,359,Endogeno,Fracaso,Crisis Bancaria,Cavallo-BCRA,Ahorristas y bancos,1,2,"Chipre, Grecia","Decreto 1570/2001",CSJN Bustos c/ Banco Central,Damill-Frenkel (2006),Modelo crisis bancarias
PES001,Pesificacion Asimetrica,Derecho Monetario,2002-01-06,2005-02-28,Artificial,1149,Endogeno,Parcial,Colapso Convertibilidad,Duhalde-Lopez Murphy,Bancos acreedores,3,1,Ninguna,"Ley 25.561, Decreto 214/02",CSJN San Luis c/ Estado Nacional,Damill-Frenkel (2006),Innovation en crisis resolution
FIN001,Fintech Regulation,Derecho Financiero,2017-05-15,2024-12-31,Mixta,2786,Hibrido,En_Desarrollo,Disrupcion Tecnologica,BCRA-CNV-Fintechs,Bancos tradicionales,7,2,"Mexico, Brasil","BCRA Com. A 6859, A 7030",No fallos relevantes,Fleitas (2022),Marco regulatorio evolving
CRY001,Crypto Assets,Derecho Financiero,2021-07-01,2024-12-31,Mixta,1278,Hibrido,En_Desarrollo,Adopcion Cripto Global,BCRA-CNV-UIF,Resistencia regulatoria,3,1,"El Salvador, Colombia","BCRA Com. A 7406",No fallos relevantes,Recalde (2023),Regulacion restrictiva inicial
COV001,Emergencia COVID,Derecho Administrativo,2020-03-20,2022-12-31,Artificial,1017,Endogeno,Exitoso,Pandemia Global,Alberto Fernandez-Congreso,Sectores productivos,2,5,"Brasil, Chile","Decreto 297/20, Ley 27.541",CSJN varias cautelares,Cassagne (2021),Amplio uso emergency powers
TEL001,Teletrabajo Regulacion,Derecho Laboral,2020-07-14,2024-12-31,Acumulativa,1600,Hibrido,Exitoso,Pandemia-Digitalizacion,Congreso-Sindicatos,Empleadores resistencia,4,1,"Chile, Colombia","Ley 27.555",No fallos relevantes,Ackerman (2021),Acceleration digital transformation
ENV001,Derechos Ambientales,Derecho Ambiental,1994-08-22,2024-12-31,Acumulativa,11088,Endogeno,Parcial,Conciencia Ecologica,ONG ambientalistas-CSJN,Sectores productivos,30,6,"Toda Latinoamerica",Art. 41 Constitucion Nacional,CSJN Mendoza c/ Estado Nacional,Cafferatta (2009),Expansion via jurisprudencia
IMP001,Impuesto PAIS,Derecho Tributario,2019-12-23,2024-12-31,Artificial,1834,Endogeno,Parcial,Crisis Fiscal-Cambiaria,Alberto Fernandez-AFIP,Sectores importadores,5,2,Colombia,"Ley 27.541",No fallos relevantes,Gasso-Vila (2020),Tributo multiple currency gap
